Country,Name,Breeder and Vendor,Parentage,Characteristics,Resistance,Susceptibility,Tolerant,PVP/Patent #,Market Class,Source,Direct harvest suitability,Yield,Maturity,Seed weight
USA,Sonora (99233),"AmeriSeed, LLC",PNE 6-94-75/Winchester,"Early maturity (89 days)/IIb erect growth habit-indeterminate, guides medium to long, with no ability to climb, adapted to direct harvest, 49 days to 50% bloom",rust,Bean common mosaic virus (All races),,200700296,Pinto,,,,,
USA,Stampede (ND020351),NDSU Research Foundation,94-029-01-01/BDM-RMR-14,"Mid-season maturity (90-100), days to maturity-96, 2a growth habit-erect, indeterminate, guides short or not developed, days to flowering-42 (50% bloom)","rust (40-42, 52-57, 59-61), Bean common mosaic virus (all races of necrotic strains), air pollution",white mold,,200800304,Pinto,"Journal of Plant Registrations 2010, 4(1): 5-11",,,,
USA,StayBright (COSD 35),Colorado State University,Long's Peak/CO 13484,"Medium maturity (98 days), upright growth habit, adapted to direct harvest, 45 days to 50% bloom","rust (Races 38, 39, 40, 44, 45, 46, 49, 50, 51, 52, 54, 56, 59, 72), Bean common mosaic virus (NY15, NL3, NL4, NL8)",,,201700230,Slow Darkening Pinto,,,,,
USA,Sundance (COSD 07),Colorado State University,CO 15542/Long's Peak,"Medium maturity (94 days), upright growth habit, adapted to direct harvest, 45 days to 50% bloom","rust (Race 38, 39, 40, 44, 45, 46, 49, 50, 51, 52, 54, 56, 59, 72), Bean common mosaic virus (NL3)",,,201700231,Slow Darkening Pinto,,,,,
USA,SV1893GH (12-NAV-1200),Seminis Vegetable Seeds Inc,Regent/RWR2381,"late maturity (>100), days to maturity-106, days to flowering-49 (50% bloom), Resistance: rust (Race 53), Bean common mosaic virus (I), Aphanomyces","rust (Race 53), Bean common mosaic virus (I), Aphanomyces",,,201500339,Navy,,,,,
USA,SV6139GR (12-PIN-1012),Seminis Vegetable Seeds Inc,Windbreaker/Medicine Hat,"upright short vine growth habit, late maturity, days to maturity- 101, days to flowering-49 (50% bloom)","rust (Race 53), Bean common mosaic virus (I)",,,201500316,Pinto,,,,,
USA,SV6533GR (12-PIN-1214),Seminis Vegetable Seeds Inc,Windbreaker/Medicine Hat,"late maturity (>100), days to maturity-101, days to flowering-47 (50% bloom), upright short vine growth habit","rust (Race 53), Bean common mosaic virus (I)",,,201500317,Pinto,,,,,
USA,SV6894GB (12-BKB-1213),Seminis Vegetable Seeds Inc,B01741/B0866,"upright determinate growth habit, late maturity (>100), days to maturity-104, days to flowering-49 (50% bloom)","Bean common mosaic virus (I gene resistance), anthracnose (Races 73, 105-Co2 gene resistance)",,,201500297,Black,,,,,
USA,SVS 0815 (EX 0850815),Seminis Vegetable Seeds Inc,97YT85/Matterhorn,"Medium maturity (96 days), 2b erect growth habit- indeterminate, guides medium to long, with no ability to climb, adapted to direct harvest, 45 days to 50% bloom","Bean common mosaic virus (I), rust (Race 53)",,,201000301,Great Northern,,,,,
USA,Talon (ND061210),NDSU Research Foundation,02-367-16-09-01///////Foxfire/01-471//////00-615/Montcalm/////92-229R-01/Redhawk////89-161-13/Montcalm///Montcalm/89-067//Red Kloud/I89005,"Mid-season maturity (90-100), days to maturity-100, 1a growth habit, days to flowering-43 (50% bloom)","rust (most Mesoamerican races), anthracnose (Race 73), Bean common mosaic virus (NL-3)",,"common bacterial blight, root rot",201500067,Dark Red Kidney,"Journal of Plant Registrations 2017, 11(1): 1-8",,,,
USA,Taurus (03138),"ProVita, Inc",Matterhorn/97-889-6,"Medium maturity (93 days), 2b erect growth habit-indeterminate, guides medium to long, with no ability to climb/adapted to direct harvest, 54 days to 50% bloom",,,,201400387,Great Northern,,,,,
USA,Topaz R (ROG123R),"Syngenta Seeds, Inc",BelDakMi-RMR-11/Topaz,"early maturity (83 days), 2b erect growth habit-indeterminate, guides medium to long, with no ability to climb/adapted to direct harvest, 44 days to 50% bloom","Bean common mosaic virus (NL8), rust (all known races except 108)",,,200500213,Pinto,,,,,
USA,Torreon (06206),"ProVita, ADM Edible Bean Specialties, Inc",01-3564-1/La Paz,"Early maturity (89 days), 2b erect growth habit-indeterminate, guides medium to long, with no ability to climb, adapted to direct harvest, 48 days to 50% bloom",,,,201600323,Pinto,,,,,
